ID,URL,Collection,Title,Contents,Date
C87222,https://github.com/jsk-ros-pkg/jsk_common,Commits,jsk_common,6d1f0cb564f760092af147': 'add hardware id tp battery capacity'},
C87203,https://github.com/jsk-ros-pkg/jsk_common,Commits,jsk_common,ab3e90898c57715c5bcc6fc9372b89533312a': 'add battery full capacity summary script'},
C82758,https://github.com/jhu-asco/aerial_autonomy,Commits,aerial_autonomy,"grator to xy in rpyt vel controller, reduce battery percentage'}",
C82372,https://github.com/jhu-asco/aerial_autonomy,Commits,aerial_autonomy,ad7ec222aa8af4': 'Abort instead of Land when battery is low'},
C82205,https://github.com/jhu-asco/aerial_autonomy,Commits,aerial_autonomy,is closed\nIt also generates a land event if battery is low'},
C82055,https://github.com/jhu-asco/aerial_autonomy,Commits,aerial_autonomy,"position control\n\nWhen taking off, if low battery, should try to land\nWhen reaching goal, if",
C73332,https://github.com/ipa320/cob_robots,Commits,cob_robots,"06293c024f360a0910b': 'added ur10, phidgets, battery monitor, em monitor to robot bringup for raw",
C73261,https://github.com/ipa320/cob_robots,Commits,cob_robots,7aecd52b50210a55210fb38eb9f026b0eb514': 'use powerstate from phidget node'},
C73016,https://github.com/ipa320/cob_robots,Commits,cob_robots,5ccd7d3520115f1b20ab24a2828d': 'configurable battery thresholds'},
C70904,https://github.com/ipa320/cob_robots,Commits,cob_robots,d7a45a63f53aa4f05f43911c8729e3a1': 'enhanced battery monitoring'},
C70875,https://github.com/ipa320/cob_robots,Commits,cob_robots,96aacf9a0e8396ad1ad88e4ba2202d94be33e': 'add battery and emergency monitor for cob3-6'},
C70854,https://github.com/ipa320/cob_robots,Commits,cob_robots,c8ab1aee96fa': 'add config for emergency and battery monitor'},
C66043,https://github.com/ipa320/cob_environment_perception,Commits,cob_environment_perception,64a3d67ba25c60ae53b56d19b0f002': 'introduced energy factor'},
C63074,https://github.com/ipa320/cob_environment_perception,Commits,cob_environment_perception,"742e194c347fa0301309f': 'renamed msg + added energy value, encoded as XML'}",
