Unique codes,# Original Codes,# Data Points,Caused by energy inefficiency,Caused # Data Points,May cause energy inefficiency,Cause # Data Points,E-efficiency solutions,Solution # Data Points,Dropped,FPs Filtering,Discarded Codes
AA batteries,1,1,x,1,,0,,0,,,
abort instead land,1,1,,0,,0,x,1,,,
abort mission,1,2,,0,,0,x,2,,,
abstract power modes,1,2,,0,,0,x,2,,,
abstract raw battery readings,1,2,,0,,0,x,2,,,
ACPI,1,1,x,1,,0,,0,,,
AD converter,1,1,x,1,,0,,0,,,
adaptation,1,1,,0,,0,x,1,,,
add battery node,1,1,,0,,0,x,1,,,
add battery state support,1,1,,0,,0,x,1,,,
add battery warning,1,1,,0,,0,x,1,,,
additional battery information,1,1,,0,,0,x,1,,,
adjustable warning,1,2,,0,,0,x,2,,,
after connecting kinect,1,1,x,1,,0,,0,,,
airdrone driver fails,1,1,x,1,,0,,0,,,
alarm,1,3,,0,,0,x,3,,,
alarm variable,1,1,,0,,0,x,1,,,
always sounds warning,1,1,,0,,0,,0,x,,
architecture,1,1,,0,,0,x,1,,,
Arduino,3,6,,0,,0,x,6,,,
auto dock,6,26,,0,,0,x,26,,,
auto recharging,1,1,,0,,0,x,1,,,
autocore board,1,1,,0,,0,x,1,,,
autonomous navigation,1,1,,0,,0,,0,,,
autonomy,2,6,,0,,0,,0,x,,autonomy
autopilots drone,2,4,x,4,,0,,0,,,
autoware,2,2,,0,,0,x,2,,,
avoid draining robot battery,1,1,,0,,0,x,1,,,
avoid warning for no battery,1,1,,0,,0,x,1,,,
avoiding low battery beep,1,2,,0,,0,x,2,,,
avoiding oscilation near to the threashold,1,1,,0,,0,x,1,,,
back home,2,5,,0,,0,x,5,,,
batter cells,1,1,,0,,0,x,1,,,
batter warning speaks shutdown,1,1,,0,,0,x,1,,,
batter-operated robots,1,1,x,1,,0,x,1,,,
battery and temperature info,1,1,,0,,0,x,1,,,
battery as part of diagnostics,1,1,,0,,0,x,1,,,
battery autonomy,1,3,,0,,0,x,3,,,
battery calculation for task,1,4,,0,,0,x,4,,,
battery calibration,1,2,,0,,0,x,2,,,
battery capacity,3,8,,0,,0,x,8,,,
battery cells,1,1,,0,,0,x,1,,,
battery charge,2,3,,0,,0,x,3,,,
battery charging speaker,1,1,,0,,0,x,1,,,
battery check,1,2,,0,,0,x,2,,,
battery code bug,1,1,,0,x,1,,0,,,
battery configuration,5,7,,0,,0,x,7,,Keep because there are TPs.,
battery cost,1,2,,0,,0,,0,x,,
battery current,1,1,,0,,0,x,1,,,
battery dead,2,2,x,2,,0,,0,,,
battery diagnostic,8,49,,0,,0,x,49,,,
battery documentation,1,1,,0,,0,x,1,,,
battery drain,1,1,x,1,,0,,0,,,
battery draining fast,1,1,,0,,0,,0,x,,battery draining fast
battery driven,1,1,x,1,,0,,0,,,
battery error,1,1,x,1,,0,,0,,,
battery estimation,4,9,,0,,0,x,9,,,
battery full,4,4,,0,,0,,0,x,,
battery guard,1,1,,0,,0,x,1,,,
battery information,30,750,,0,,0,x,750,,,
battery information speaker,1,16,,0,,0,x,16,,,
battery led,1,1,,0,,0,x,1,,,
battery level,5,24,,0,,0,x,24,,,
battery life when unplugged,1,1,x,1,,0,,0,,,
