PHASE1 ID,ID,URL,Collection,Title,Contents,Codes - Michel,Codes - Gustavo,Codes - Ivano
W50,DP1,https://wiki.ros.org/phm_tools,Wiki,phm_tools,more component in the Power Module which is battery and the failure rate of this component selec,[not available/not found][hardware][FP],,[not available/not found]
W42,DP2,https://wiki.ros.org/ocean_battery_driver,Wiki,ocean_battery_driver,"ry and Power System.


 controls an array of battery controllers. The API below is for informati",[Provide battery information] [multiple battery] [time-based diagnostics],[Provide battery information] [multiple battery] [time-based diagnostics],[provide battery information] [multiple battery] [time-based diagnostics]
W39,DP3,https://wiki.ros.org/rosserial_embeddedlinux,Wiki,rosserial_embeddedlinux,"l, and consumes under 10 watts of electrical power. This makes them expandable and interesting",[low-power devices][embedded system],[embedded system] ,[embedded_device]
SO2,DP4,https://stackoverflow.com/questions/59778016/simulating-battery-life-of-a-turtlebot-3-in-gazebo,StackOverflow,Simulating battery life of a Turtlebot 3 in Gazebo,e I can drive around a Turtlebot 3 while its battery state is simulated.I have read about the Gaz,[simulating battery],[simulating battery],[simulating battery]
ROSD36,DP5,https://discourse.ros.org/t/turtlebot3-joule-stalled/2739,ROSDiscourse,Turtlebot3 - Joule stalled,on 12V/3A external power supply or with the battery provided with the Turtlebo3 kit. Logs don’t,[hybernating] [energy_saving_as_problem] [os_sleep] [correctness],[hybernating] [energy_saving_as_problem] [os_sleep] [correctness],[hybernating] [energy_saving_as_problem] [os_sleep] [correctness]
ROSD3,DP6,https://discourse.ros.org/t/which-board-microprocessor-should-i-use-i-want-to-use-ros-kinetic-on-ubuntu-16-04-along-with-packages-like-move-base-laser-scan-matcher-for-indoor-autonomous-navigation/11488,ROSDiscourse,"Which board/microprocessor should I use? I want to use ROS Kinetic on Ubuntu 16.04, along with packages like move_base, laser_scan_matcher for indoor autonomous navigation",l switch to something that is smaller / more energy efficient but harder to work with.Looks like,[energy efficiency][small device][single comment],[microprocessor] [energy efficiency],[autonomous_navigation] [sensing] [difficult_implementation]
ROSD250,DP7,https://discourse.ros.org/t/what-do-you-want-to-see-in-an-educational-ros-platform/10958,ROSDiscourse,What do you want to see in an educational ROS platform?,SLAM onboard.If I just use a 3S LiPo 5000mah battery (it’s already larger than the default). The,[battery capacity][battery autonomy],[battery capacity] [camera],[camera] [battery_pack] [education]
ROSA98,DP8,https://answers.ros.org/question/295503/ending-nodestopics-from-python-script/,ROSAnswers,Ending nodes/topics from python script,"he turtlebot to its point of origin when the battery is low, and stop when it reaches that point.",[tactic][return to base/auto docking][low battery][not stopping on base],[auto dock] [stop movement],[navigation][movement][scanner][tactic][go_back_home_battery_low]
ROSA90,DP9,https://answers.ros.org/question/259313/how-to-combine-coordinate-program-and-auto-docking-program/,ROSAnswers,how to combine coordinate program and auto docking program,lly perform auto docking when it detects its battery is low. How to make it? below is my program,[tactic][return to base/auto docking][low battery][how to auto dock],[auto dock],[auto_docking][go_back_home_battery_low]
ROSA88,DP10,https://answers.ros.org/question/253680/kobuki-auto-docking-action-server-is-not-connected-yet/,ROSAnswers,Kobuki - Auto Docking - Action server is not connected yet,navigating to some location on a map and the battery drops below safe limits then it needs to ret,[tactic][return to base/auto docking][low battery][navigation issue],[auto dock],[auto_docking][go_back_home_battery_low]
REPO_P211,DP11,https://github.com/EndPointCorp/lg_ros_nodes,Repositories,lg_ros_nodes,{'wiimoteConstants': ' = 10 Indices into a two-tuple of info about battery state in wiimote messages: 0: Percentage o'},[provide battery info][indices/vars without code],[battery info],[provide battery information] [percentage_raw_battery]
REPO_P210,DP12,https://github.com/EndPointCorp/lg_ros_nodes,Repositories,lg_ros_nodes,"{'wiimote_node': 'g.rumble) + ""\\n Battery: ["" + str(msg.raw_battery) + "","" + str(msg.percent_battery))rospy.logd'}",[Provide battery information],[Provide battery information],[provide battery information] [percentage_raw_battery]
REPO_P191,DP13,https://github.com/pbouffard/ccny-ros-pkg-pbouffard,Repositories,ccny-ros-pkg-pbouffard,{'monitor': '://en.wikipedia.org/wiki/Lithium-ion_polymer_battery Maximum Voltage Warning Voltage Minimum Volt'},[not available/not found],[DO LATER],[battery_voltage] [battery_settings] [battery_warning]
