Themes definitions,CAUSES
BATTERY_PHYSICAL_SPECS,BATTERY_PHYSICAL
BUGS,CODE
SEND_IMAGES,IMAGES_VIDEOS
STREAM_VIDEO,IMAGES_VIDEOS
BOARD,OS_SDK
CPU,COMPUTATION
KINECT,IMAGES_VIDEOS
ROBOT_SPECIFIC,
OS,OS_SDK
TECHNICAL_DEBT,CODE
CHARGING_ISSUE,BATTERY_PHYSICAL
LAUNCH,CONFIGURATION
LOW_LEVEL_CONNECTORS,BATTERY_PHYSICAL
SDK,OS_SDK
DIFFICULT_CODING,CODE
DRIVERS,SENSORS_ACTUATORS
UI,UI
VOLTAGE,BATTERY_PHYSICAL
SENSORS_ACTUATORS,SENSORS_ACTUATORS
NAVIGATION,NAVIGATION
NETWORKING,NETWORKING
BATTERY_MISINFORMATION,CONFIGURATION
LOGGING,CODE
SW_HW_UPDATE,OS_SDK
ENERGY_AS_BUG_CAUSE,
NOT_INFORMATIVE,
TROUBLESHOOTING,
