ID,URL,Collection,Title,Contents,DateTime,DateTime
C87222,https://github.com/jsk-ros-pkg/jsk_common,Commits,jsk_common,6d1f0cb564f760092af147': 'add hardware id tp battery capacity'},2014-12-17 9:49:28,1418816968.0
C87203,https://github.com/jsk-ros-pkg/jsk_common,Commits,jsk_common,ab3e90898c57715c5bcc6fc9372b89533312a': 'add battery full capacity summary script'},2014-12-11 10:42:38,1418301758.0
C82758,https://github.com/jhu-asco/aerial_autonomy,Commits,aerial_autonomy,"grator to xy in rpyt vel controller, reduce battery percentage'}",2017-12-04 0:00:00,1512352800.0
C82372,https://github.com/jhu-asco/aerial_autonomy,Commits,aerial_autonomy,ad7ec222aa8af4': 'Abort instead of Land when battery is low'},2017-08-25 11:52:28,1503672748.0
C82205,https://github.com/jhu-asco/aerial_autonomy,Commits,aerial_autonomy,is closed\nIt also generates a land event if battery is low'},2017-04-14 0:00:00,1492138800.0
C82055,https://github.com/jhu-asco/aerial_autonomy,Commits,aerial_autonomy,"position control\n\nWhen taking off, if low battery, should try to land\nWhen reaching goal, if",2017-08-24 0:00:00,1503543600.0
C73332,https://github.com/ipa320/cob_robots,Commits,cob_robots,"06293c024f360a0910b': 'added ur10, phidgets, battery monitor, em monitor to robot bringup for raw",2016-09-13 0:00:00,1473735600.0
C73261,https://github.com/ipa320/cob_robots,Commits,cob_robots,7aecd52b50210a55210fb38eb9f026b0eb514': 'use powerstate from phidget node'},2016-08-05 14:05:16,1470416716.0
C73016,https://github.com/ipa320/cob_robots,Commits,cob_robots,5ccd7d3520115f1b20ab24a2828d': 'configurable battery thresholds'},2016-02-22 0:00:00,1456110000.0
C70904,https://github.com/ipa320/cob_robots,Commits,cob_robots,d7a45a63f53aa4f05f43911c8729e3a1': 'enhanced battery monitoring'},2012-12-05 0:00:00,1354672800.0
C70875,https://github.com/ipa320/cob_robots,Commits,cob_robots,96aacf9a0e8396ad1ad88e4ba2202d94be33e': 'add battery and emergency monitor for cob3-6'},2012-11-13 16:50:43,1352832643.0
C70854,https://github.com/ipa320/cob_robots,Commits,cob_robots,c8ab1aee96fa': 'add config for emergency and battery monitor'},2012-11-08 8:02:40,1352368960.0
C66043,https://github.com/ipa320/cob_environment_perception,Commits,cob_environment_perception,64a3d67ba25c60ae53b56d19b0f002': 'introduced energy factor'},2015-04-05 5:59:39,1428224379.0
C63074,https://github.com/ipa320/cob_environment_perception,Commits,cob_environment_perception,"742e194c347fa0301309f': 'renamed msg + added energy value, encoded as XML'}",2012-06-13 0:00:00,1339556400.0
C63073,https://github.com/ipa320/cob_environment_perception,Commits,cob_environment_perception,"7185e304f43b5418ab2d2': 'renamed msg + added energy value, encoded as XML'}",2012-06-13 0:00:00,1339556400.0
